GO,Interpro,n,n_go,n_ip,s
GO:0000492,IPR007529,9,60,22,0.21951219512195122
GO:0000492,IPR010339,30,60,32,0.6521739130434783
GO:0000492,IPR012981,10,60,21,0.24691358024691357
GO:0000492,IPR041048,30,60,32,0.6521739130434783
GO:0000492,IPR041442,9,60,22,0.21951219512195122
GO:0000493,IPR007009,9,10,9,0.9473684210526315
GO:0000495,IPR002478,19,23,82,0.3619047619047619
GO:0000495,IPR002501,20,23,53,0.5263157894736842
GO:0000495,IPR004521,16,23,34,0.5614035087719298
GO:0000495,IPR012960,19,23,19,0.9047619047619048
GO:0000495,IPR014789,3,23,5,0.21428571428571427
GO:0000495,IPR032819,20,23,44,0.5970149253731343
GO:0000495,IPR034042,3,23,5,0.21428571428571427
GO:0000500,IPR019835,2,4,14,0.2222222222222222
GO:0000502,IPR000426,127,364,127,0.5173116089613035
GO:0000502,IPR032501,45,364,46,0.21951219512195122
GO:0000506,IPR013234,4,12,5,0.47058823529411764
GO:0000506,IPR013717,3,12,5,0.35294117647058826
GO:0000506,IPR019328,5,12,5,0.5882352941176471
GO:0000700,IPR003265,10,17,47,0.3125
GO:0000700,IPR029119,9,17,10,0.6666666666666666
GO:0000701,IPR003265,10,11,47,0.3448275862068966
GO:0000701,IPR029119,9,11,10,0.8571428571428571
GO:0000702,IPR000214,27,71,33,0.5192307692307693
GO:0000702,IPR001351,14,71,60,0.21374045801526717
GO:0000702,IPR003265,30,71,47,0.5084745762711864
GO:0000702,IPR010663,24,71,45,0.41379310344827586
GO:0000702,IPR012319,27,71,36,0.5046728971962616
GO:0000702,IPR015886,27,71,36,0.5046728971962616
GO:0000702,IPR029119,9,71,10,0.2222222222222222
GO:0000703,IPR000214,6,20,33,0.22641509433962265
GO:0000703,IPR003265,14,20,47,0.417910447761194
GO:0000703,IPR012319,6,20,36,0.21428571428571427
GO:0000703,IPR015886,6,20,36,0.21428571428571427
GO:0000706,IPR013049,13,31,18,0.5306122448979592
GO:0000706,IPR034136,13,31,18,0.5306122448979592
GO:0000710,IPR000432,28,36,89,0.448
GO:0000710,IPR007695,26,36,68,0.5
GO:0000710,IPR007696,28,36,88,0.45161290322580644
GO:0000710,IPR007860,26,36,71,0.48598130841121495
GO:0000710,IPR007861,19,36,65,0.37623762376237624
GO:0000711,IPR013967,5,7,7,0.7142857142857143
GO:0000712,IPR002205,16,82,46,0.25
GO:0000712,IPR006166,32,82,36,0.5423728813559322
GO:0000712,IPR013506,15,82,39,0.24793388429752067
GO:0000712,IPR031660,16,82,18,0.32
